episode,total_reward,steps_survived,success_flag,epsilon
1,12,161,0,0.9999625540476977
2,2,161,0,0.9999251094975948
3,7,161,0,0.9998876663496388
4,-43,161,0,0.999850224603777
5,12,161,0,0.9998127842599571
6,-6,248,0,0.9997753453181265
7,-38,161,0,0.9997379077782328
8,-18,161,0,0.9997004716402234
9,10,300,0,0.9996630369040458
10,7,161,0,0.9996256035696476
11,12,161,0,0.9995881716369762
12,-23,161,0,0.9995507411059792
13,7,161,0,0.9995133119766041
14,-13,161,0,0.9994758842487983
15,-20,300,0,0.9994384579225094
16,-3,161,0,0.999401032997685
17,17,161,0,0.9993636094742725
18,-15,300,0,0.9993261873522195
19,12,161,0,0.9992887666314735
20,12,161,0,0.9992513473119821
21,-13,161,0,0.9992139293936927
22,17,161,0,0.9991765128765528
23,-28,161,0,0.9991390977605101
24,2,161,0,0.999101684045512
25,-70,300,0,0.9990642717315061
26,-3,161,0,0.9990268608184399
27,-23,161,0,0.998989451306261
28,22,161,0,0.9989520431949169
29,-38,161,0,0.9989146364843552
30,-43,161,0,0.9988772311745233
31,2,161,0,0.9988398272653689
32,30,300,0,0.9988024247568396
33,-58,161,0,0.9987650236488828
34,-58,161,0,0.998727623941446
35,-8,161,0,0.998690225634477
36,-13,161,0,0.9986528287279232
37,-18,161,0,0.9986154332217321
38,-13,161,0,0.9985780391158513
39,-23,161,0,0.9985406464102284
40,-28,161,0,0.9985032551048111
41,-43,161,0,0.9984658651995467
42,7,161,0,0.9984284766943831
43,-68,161,0,0.9983910895892676
44,-5,300,0,0.9983537038841478
45,-48,161,0,0.9983163195789714
46,15,300,0,0.9982789366736858
47,-138,161,0,0.9982415551682388
48,-40,300,0,0.9982041750625777
49,12,161,0,0.9981667963566504
50,12,161,0,0.9981294190504043
51,22,161,0,0.9980920431437871
52,2,161,0,0.9980546686367463
53,-83,161,0,0.9980172955292295
54,12,161,0,0.9979799238211843
55,-28,161,0,0.9979425535125582
56,-3,161,0,0.997905184603299
57,-63,161,0,0.9978678170933541
58,2,161,0,0.9978304509826713
59,-48,161,0,0.9977930862711981
60,7,161,0,0.997755722958882
61,-82,240,0,0.9977183610456708
62,-11,171,0,0.997681000531512
63,-60,300,0,0.9976436414163532
64,-28,161,0,0.997606283700142
65,-65,300,0,0.9975689273828262
66,12,161,0,0.9975315724643532
67,7,161,0,0.9974942189446707
68,15,300,0,0.9974568668237264
69,-3,161,0,0.9974195161014677
70,2,161,0,0.9973821667778424
71,11,232,0,0.9973448188527981
72,-48,161,0,0.9973074723262825
73,0,225,0,0.997270127198243
74,7,161,0,0.9972327834686275
75,-3,161,0,0.9971954411373836
76,-8,161,0,0.9971581002044587
77,12,161,0,0.9971207606698006
78,-3,161,0,0.9970834225333569
79,-53,161,0,0.9970460857950754
80,-125,300,0,0.9970087504549036
81,17,161,0,0.9969714165127891
82,35,300,0,0.9969340839686797
83,-18,286,0,0.9968967528225229
84,-15,300,0,0.9968594230742664
85,-48,161,0,0.996822094723858
86,7,161,0,0.9967847677712451
87,-48,161,0,0.9967474422163756
88,25,300,0,0.996710118059197
89,12,161,0,0.9966727952996569
90,-48,161,0,0.9966354739377031
91,-153,211,0,0.9965981539732833
92,-38,161,0,0.9965608354063451
93,-38,189,0,0.9965235182368362
94,-77,269,0,0.9964862024647042
95,7,161,0,0.9964488880898968
96,-3,161,0,0.9964115751123618
97,-33,211,0,0.9963742635320467
98,2,161,0,0.9963369533488993
99,-14,184,0,0.9962996445628672
100,22,161,0,0.9962623371738982
101,-82,217,0,0.9962250311819398
102,-8,161,0,0.9961877265869399
103,12,161,0,0.996150423388846
104,-38,161,0,0.9961131215876059
105,-13,161,0,0.9960758211831673
106,7,161,0,0.9960385221754778
107,55,300,0,0.9960012245644853
108,12,161,0,0.9959639283501373
109,-68,161,0,0.9959266335323815
110,-28,161,0,0.9958893401111657
111,17,161,0,0.9958520480864376
112,2,161,0,0.9958147574581449
113,22,262,0,0.9957774682262351
114,-3,211,0,0.9957401803906563
115,-43,161,0,0.9957028939513559
116,-127,215,0,0.9956656089082818
117,-53,161,0,0.9956283252613817
118,-15,300,0,0.9955910430106032
119,-8,161,0,0.9955537621558941
120,-38,161,0,0.995516482697202
121,12,161,0,0.9954792046344748
122,11,205,0,0.9954419279676602
123,-67,192,0,0.9954046526967059
